episode_index,split,family,subset,map_name,seed,num_agents,status,makespan,soc,rectangular_actions,goal_waits_removed,num_samples,planner,path,error
0,maze_train,maze,train,medium-mazes-seed-0000,0,16,generated,46,317,736,419,317,mapf_lns2,episode_0000000_medium-mazes-seed-0000_s0_n16.npz,
1,maze_train,maze,train,medium-mazes-seed-0000,0,24,generated,46,491,1104,613,491,mapf_lns2,episode_0000001_medium-mazes-seed-0000_s0_n24.npz,
2,maze_train,maze,train,medium-mazes-seed-0000,0,32,generated,46,684,1472,788,684,mapf_lns2,episode_0000002_medium-mazes-seed-0000_s0_n32.npz,
3,maze_train,maze,train,medium-mazes-seed-0000,1,16,generated,33,265,528,263,265,mapf_lns2,episode_0000003_medium-mazes-seed-0000_s1_n16.npz,
4,maze_train,maze,train,medium-mazes-seed-0000,1,24,generated,40,439,960,521,439,mapf_lns2,episode_0000004_medium-mazes-seed-0000_s1_n24.npz,
5,maze_train,maze,train,medium-mazes-seed-0000,1,32,generated,37,616,1184,568,616,mapf_lns2,episode_0000005_medium-mazes-seed-0000_s1_n32.npz,
6,maze_train,maze,train,medium-mazes-seed-0000,2,16,generated,29,278,464,186,278,mapf_lns2,episode_0000006_medium-mazes-seed-0000_s2_n16.npz,
7,maze_train,maze,train,medium-mazes-seed-0000,2,24,generated,39,472,936,464,472,mapf_lns2,episode_0000007_medium-mazes-seed-0000_s2_n24.npz,
8,maze_train,maze,train,medium-mazes-seed-0000,2,32,generated,39,642,1248,606,642,mapf_lns2,episode_0000008_medium-mazes-seed-0000_s2_n32.npz,
9,maze_train,maze,train,medium-mazes-seed-0000,3,16,generated,30,268,480,212,268,mapf_lns2,episode_0000009_medium-mazes-seed-0000_s3_n16.npz,
10,maze_train,maze,train,medium-mazes-seed-0000,3,24,generated,32,488,768,280,488,mapf_lns2,episode_0000010_medium-mazes-seed-0000_s3_n24.npz,
11,maze_train,maze,train,medium-mazes-seed-0000,3,32,generated,36,676,1152,476,676,mapf_lns2,episode_0000011_medium-mazes-seed-0000_s3_n32.npz,
12,maze_train,maze,train,medium-mazes-seed-0000,4,16,generated,33,327,528,201,327,mapf_lns2,episode_0000012_medium-mazes-seed-0000_s4_n16.npz,
13,maze_train,maze,train,medium-mazes-seed-0000,4,24,generated,39,542,936,394,542,mapf_lns2,episode_0000013_medium-mazes-seed-0000_s4_n24.npz,
14,maze_train,maze,train,medium-mazes-seed-0000,4,32,generated,39,708,1248,540,708,mapf_lns2,episode_0000014_medium-mazes-seed-0000_s4_n32.npz,
15,maze_train,maze,train,medium-mazes-seed-0000,5,16,generated,36,345,576,231,345,mapf_lns2,episode_0000015_medium-mazes-seed-0000_s5_n16.npz,
